AUTHOR,TITLE,SCORE
George R.R. Mar...,George R. R. Martin's A Game of Thrones ...,9.5
[日] 村上春树,世界尽头与冷酷仙境,9.5
美国纽约摄影学院,美国纽约摄影学院摄影教材（下册）,9.5
"[美] 贾森·弗里德,[丹] ...",重来,9.5
俞敏洪,英语词汇速记大全词根+词缀记忆法,9.5
(美)安妮·阿普尔鲍姆,古拉格,9.5
乔治•奥威尔 (George ...,动物庄园,9.5
[美]斯蒂芬·金,写作这回事,9.5
[美] 卡勒德·胡赛尼,群山回唱,9.5
布鲁斯·布尔诺·德·梅斯奎塔 ...,独裁者手册,9.5
[英] 蒂莫西•高尔斯,数学,9.5
杨绛,干校六记,9.5
木心,素履之往,9.5
[美] 乔治·索罗斯,金融炼金术,9.5
钱锺书,人·兽·鬼,9.5
吴钩,原来你是这样的宋朝,9.5
张羽,只有医生知道！3,9.5
[苏] 格拉宁,奇特的一生,9.5
杨鹏,17天搞定GRE单词,9.5
[德] 古斯塔夫·施瓦布,希腊神话故事,9.5
叶嘉莹,唐宋词十七讲,9.0
[荷] 高罗佩,中国古代房内考,9.0
张爱玲,张爱玲作品集,9.0
东野圭吾,白夜行,9.0
[英]基思•罗威（Keith ...,野蛮大陆,9.0
汪曾祺,人间草木,9.0
孙武,孙子兵法,9.0
胡适 鲁迅 梁启超等,民国语文,9.0
[日] 高木直子,第一次一个人旅行,9.0
盐野七生,罗马人的故事2,9.0
[美] 约瑟夫·布罗茨基,悲伤与理智,9.0
[英] 阿道司·赫胥黎,美丽新世界,9.0
章诒和,往事并不如烟,9.0
阿诺德·G. 尼尔森（Arno...,拉伸运动系统训练,9.0
（英）亚历山大（Alexand...,新概念英语（4）,9.0
林达,一路走来一路读 （增补本）,9.0
[美] 托马斯·潘恩,常识,9.0
[美] 弗朗西斯·福山,历史的终结与最后的人,9.0
费孝通,江村经济,9.0
莫言,莫言文集（全十二册）,9.0
饶平如,平如美棠,9.0
[美] 霍华德·马克斯 How...,投资最重要的事,9.0
克莱顿•克里斯坦森,创新者的窘境(全新修订版),9.0
三戒大师,官居一品（全七册）,9.0
托爾金,魔戒三部曲,9.0
[奥地利] 弗洛伊德,梦的解析,9.0
吴晓波,历代经济变革得失,9.0
"杨枫 编,姚海军 编",中国科幻银河奖作品精选集⑥,9.0
（美）Henry S. War...,算法心得：高效算法的奥秘（原书第2版）,9.0
Randall Munroe,What If?,9.0
[土耳其] 奥尔罕·帕慕克,我脑袋里的怪东西,9.0
[美] 凯文·凯利,科技想要什么,9.0
S. A. 阿列克谢耶维奇,切尔诺贝利的悲鸣,9.0
顾爷,小顾聊绘画·壹,9.0
（清）沈复,浮生六记,9.0
张爱玲,半生缘,9.0
钱锺书,写在人生边上 人生边上的边上 石语,9.0
漏屋,找对英语学习方法的第一本书,9.0
杰西·利弗莫尔,股票大作手操盘术,9.0
Walter Isaacson,Steve Jobs,9.0
林语堂,京华烟云,8.5
刘慈欣,乡村教师,8.5
梁实秋,闲暇处才是生活,8.5
[英] 奥兰多·费吉斯,耳语者,8.5
刘和平,北平无战事,8.5
(日)梦枕貘,阴阳师典藏合集,8.5
[德] 赫尔曼·黑塞,悉达多,8.5
[美]罗杰•道森 (Roger...,优势谈判,8.5
林达,西班牙旅行笔记,8.5
[英] 贡布里希 (Sir E...,艺术的故事,8.5
"【丹麦】汉·克·安徒生,H.C...",安徒生童话,8.5
余华,许三观卖血记,8.5
（英）亚历山大（Alexand...,新概念英语3,8.5
小桥老树,侯卫东官场笔记-全8册,8.5
"蘅塘退士,陈婉俊",唐诗三百首,8.5
白先勇,纽约客,8.5
蔡东藩,中国历史通俗演义（全套十二册）,8.5
[日] 安倍夜郎,深夜食堂 05,8.5
[日] 三岛由纪夫,丰饶之海（上下）,8.5
[美] 乔纳森·弗兰岑,自由,8.5
(后秦)鸠摩罗什,金刚经,9.5
章詒和,最後的貴族,9.5
蒋勋,蒋勋说唐诗,9.5
旋元佑,英文魔法師之文法俱樂部,9.5
丘吉尔,第二次世界大战回忆录,9.5
奚恺元,别做正常的傻瓜,9.5
J.K. Rowling,Harry Potter and the Chamber of Secrets,9.5
[美]菲利普·迪克,菲利普·迪克作品集（全5册）,9.5
古典,拆掉思维里的墙,9.5
(美)威廉姆·里维特,伯克利现代吉他教程,9.5
"丰子恺 绘,丰陈宝 丰一吟 编",丰子恺漫画全集（全九卷）,9.5
[美] 卡森·麦卡勒斯,心是孤独的猎手,9.5
[美] 孔飞力,叫魂,9.5
[美]欧文·斯通,梵高传,9.5
丹尼·格雷戈里,手绘的奇思妙想,9.5
[俄]陀思妥耶夫斯基,卡拉马佐夫兄弟,9.5
"刘津,李月",破茧成蝶：用户体验设计师的成长之路,9.5
"久住昌之,谷口治郎",孤獨的美食家,9.5
易中天,易中天中华史,9.5
村上春树,没有色彩的多崎作和他的巡礼之年,9.5
高阳,慈禧全传(六卷八册),9.0
[日] 东野圭吾,超·杀人事件,9.0
林毅夫,解读中国经济,9.0
(苏)斯坦尼斯拉夫斯基,演员自我修养(第一部),9.0
林语堂,生活的艺术,9.0
（日）稻盛和夫,活法,9.0
Harper Lee,To Kill a Mockingbird,9.0
艾丽丝·门罗,逃离,9.0
[法] 雨果,悲惨世界（上中下）,9.0
吴思,潜规则,9.0
袁珂校注,山海经校注,9.0
（英）哈耶克,致命的自负,9.0
黄晓阳,二号首长,9.0
[波] 维斯拉瓦•辛波斯卡,万物静默如谜,9.0
[美] 艾萨克·阿西莫夫,基地,9.0
[美] 威尔·杜兰特,哲学的故事,9.0
张维迎,博弈与社会,9.0
